Pts,FPI
42.0,5.5
9.0,5.5
24.0,5.5
17.0,5.5
17.0,6.1
24.0,6.1
13.0,6.1
10.0,6.1
13.0,6.1
21.0,6.1
17.0,6.1
0.0,-5.0
17.0,-5.0
13.0,-5.0
24.0,-5.0
16.0,-5.0
16.0,-5.0
0.0,-5.0
21.0,-5.0
20.0,-5.0
6.0,-5.0
31.0,1.0
17.0,1.0
24.0,1.0
30.0,1.0
20.0,1.0
19.0,1.0
14.0,1.0
13.0,1.0
10.0,1.0
13.0,4.5
10.0,4.5
7.0,4.5
9.0,4.5
17.0,4.5
17.0,4.5
17.0,4.5
7.0,6.0
9.0,6.0
7.0,6.0
24.0,6.0
33.0,8.7
27.0,8.7
30.0,8.7
20.0,8.7
24.0,-2.6
29.0,-2.6
17.0,-2.6
10.0,-2.6
17.0,-2.6
3.0,-2.6
10.0,-2.6
0.0,-2.6
23.0,-2.6
7.0,-2.6
10.0,-2.6
22.0,-2.6
21.0,-2.6
7.0,-4.9
23.0,-4.9
0.0,-4.9
16.0,-4.9
17.0,-4.9
21.0,-4.9
16.0,-4.9
15.0,-4.9
10.0,-3.0
39.0,-3.0
3.0,-3.0
10.0,-3.0
15.0,-3.0
10.0,-3.0
9.0,-3.0
13.0,-3.0
24.0,-3.0
23.0,-3.0
23.0,-4.3
16.0,-4.3
19.0,-4.3
24.0,-4.3
14.0,-4.3
16.0,-4.3
9.0,-4.3
11.0,-4.3
17.0,-4.3
0.0,-4.3
10.0,-4.3
10.0,-1.2
8.0,-1.2
15.0,-1.2
14.0,-1.2
17.0,-1.2
17.0,-1.2
10.0,-1.2
10.0,-1.2
16.0,-1.2
10.0,-1.2
14.0,-2.2
16.0,-2.2
17.0,-2.2
23.0,-2.2
14.0,-2.2
7.0,-2.2
10.0,-2.2
23.0,-2.2
20.0,8.1
0.0,8.1
10.0,8.1
7.0,2.9
21.0,2.9
30.0,2.9
20.0,2.9
17.0,2.9
22.0,2.9
9.0,-5.8
23.0,-5.8
13.0,-5.8
0.0,-5.8
19.0,-5.8
14.0,-5.8
