Pts,FPI
23.0,4.7
27.0,4.7
35.0,4.7
42.0,4.7
31.0,4.7
42.0,4.7
35.0,4.7
26.0,6.2
28.0,6.2
34.0,6.2
28.0,6.2
38.0,6.2
42.0,6.2
19.0,6.2
28.0,6.2
27.0,6.2
20.0,6.2
39.0,6.2
17.0,2.9
21.0,2.9
28.0,2.9
27.0,2.9
30.0,2.9
32.0,2.9
27.0,2.9
40.0,2.9
27.0,2.9
17.0,2.9
37.0,2.9
30.0,2.9
27.0,7.5
37.0,7.5
31.0,7.5
41.0,7.5
24.0,7.5
31.0,7.5
20.0,7.5
9.0,7.5
51.0,7.5
28.0,7.5
36.0,7.5
37.0,7.5
48.0,7.5
34.0,7.5
26.0,7.5
51.0,12.2
35.0,12.2
31.0,12.2
40.0,12.2
28.0,12.2
33.0,12.2
34.0,12.2
30.0,12.2
26.0,12.2
24.0,12.2
40.0,12.2
23.0,12.2
23.0,12.2
26.0,12.2
31.0,12.2
28.0,3.4
10.0,3.4
21.0,3.4
27.0,3.4
34.0,3.4
23.0,3.4
42.0,3.4
31.0,3.4
24.0,3.4
31.0,3.4
20.0,3.4
21.0,3.4
23.0,3.4
23.0,3.4
32.0,1.6
34.0,1.6
31.0,1.6
31.0,1.6
22.0,1.6
23.0,1.6
37.0,1.6
17.0,1.6
34.0,1.6
30.0,3.5
27.0,3.5
20.0,3.5
37.0,3.5
24.0,3.5
17.0,3.5
34.0,3.5
28.0,3.5
31.0,3.5
17.0,-1.0
28.0,-1.0
21.0,-1.0
14.0,-1.0
31.0,-1.0
24.0,-1.0
37.0,-1.0
20.0,-1.0
26.0,-1.0
17.0,-1.0
59.0,9.6
23.0,9.6
26.0,9.6
23.0,9.6
30.0,9.6
37.0,9.6
49.0,9.6
41.0,9.6
45.0,9.6
20.0,9.6
24.0,9.6
42.0,9.6
31.0,9.6
28.0,9.6
30.0,0.5
30.0,0.5
17.0,0.5
26.0,0.5
45.0,0.5
35.0,6.1
31.0,6.1
31.0,6.1
37.0,6.1
37.0,6.1
35.0,6.1
44.0,6.1
47.0,6.1
27.0,-5.6
13.0,-5.6
27.0,-5.6
31.0,-5.6
33.0,7.5
43.0,7.5
30.0,7.5
16.0,7.5
33.0,7.5
35.0,7.5
33.0,7.5
27.0,7.5
17.0,7.5
13.0,7.5
34.0,7.5
24.0,7.5
30.0,7.8
33.0,7.8
12.0,7.8
31.0,7.8
13.0,7.8
36.0,7.8
31.0,7.8
34.0,7.8
34.0,7.8
26.0,7.8
34.0,7.8
38.0,7.8
42.0,7.8
24.0,-3.7
31.0,-3.7
24.0,-3.7
31.0,-3.7
26.0,-3.7
17.0,-3.7
24.0,-3.7
20.0,1.9
55.0,1.9
30.0,1.9
35.0,1.9
28.0,1.9
38.0,1.9
38.0,1.9
19.0,0.3
27.0,0.3
19.0,0.3
30.0,0.3
15.0,0.3
33.0,0.3
38.0,0.3
16.0,-0.6
31.0,-0.6
16.0,-0.6
20.0,-0.6
19.0,-0.6
24.0,-0.6
31.0,-0.6
21.0,-0.6
24.0,1.2
26.0,1.2
29.0,1.2
40.0,1.2
29.0,1.2
24.0,1.2
28.0,1.2
23.0,-2.2
40.0,-2.2
19.0,-2.2
21.0,-2.2
41.0,-2.2
27.0,-2.2
20.0,-5.7
26.0,-5.7
27.0,-5.7
29.0,-5.7
20.0,-5.7
38.0,-5.7
38.0,-7.0
16.0,-7.0
34.0,-7.0
37.0,-7.0
30.0,-7.0
32.0,-8.7
24.0,-8.7
36.0,-8.7
41.0,-8.7
27.0,-3.8
