,Pts,FPI
564,13.0,-10.3
565,18.0,-10.3
566,23.0,-10.3
567,9.0,-8.7
568,7.0,-8.7
569,16.0,-8.7
570,18.0,-8.7
571,24.0,-8.7
572,10.0,-8.7
573,10.0,-8.7
574,24.0,-8.7
575,21.0,-8.7
576,17.0,-8.7
577,14.0,-8.7
578,28.0,-8.7
579,3.0,-8.7
580,7.0,-8.7
581,16.0,-8.7
582,10.0,-8.7
583,20.0,1.9
584,7.0,1.9
585,16.0,1.9
586,9.0,1.9
587,38.0,1.9
588,24.0,1.9
589,27.0,1.9
590,20.0,-3.7
591,7.0,-3.7
592,7.0,-3.7
593,14.0,-3.7
594,20.0,-3.7
595,0.0,-3.7
596,24.0,-3.7
597,9.0,-3.7
598,7.0,-3.7
599,13.0,-5.7
600,7.0,-5.7
601,7.0,-5.7
602,33.0,-5.7
603,34.0,-5.7
604,6.0,-5.7
605,16.0,-5.7
606,7.0,-5.7
607,38.0,-5.7
608,14.0,-5.7
609,13.0,-5.7
610,16.0,-5.7
611,13.0,3.9
612,35.0,3.9
613,7.0,3.9
614,10.0,3.9
615,20.0,3.9
616,13.0,3.9
617,17.0,-5.0
618,12.0,-5.0
619,3.0,-5.0
620,17.0,-5.0
621,10.0,-5.0
622,24.0,-5.0
623,10.0,-5.0
624,14.0,-5.0
625,16.0,-5.0
626,7.0,-5.0
627,14.0,-5.0
628,23.0,-2.8
629,17.0,-2.8
630,10.0,-2.8
631,0.0,-2.8
632,28.0,-2.8
633,0.0,-2.8
634,17.0,-2.8
635,11.0,-2.8
636,24.0,-2.8
637,26.0,1.0
638,38.0,1.0
639,23.0,1.0
640,15.0,1.0
641,20.0,1.0
642,24.0,1.0
643,17.0,1.0
644,20.0,-7.3
645,19.0,-7.3
646,17.0,-7.3
647,6.0,-7.3
648,20.0,-7.3
649,12.0,-7.3
650,27.0,-7.3
651,0.0,-7.3
652,10.0,-7.3
653,28.0,-7.3
654,7.0,-7.3
655,7.0,2.9
656,9.0,2.9
657,30.0,2.9
658,31.0,2.9
659,17.0,2.9
660,12.0,2.9
661,6.0,2.9
662,20.0,0.1
663,21.0,0.1
664,10.0,0.1
665,14.0,0.1
666,17.0,0.1
667,27.0,0.1
668,21.0,0.1
669,3.0,0.1
670,19.0,0.1
671,20.0,0.1
672,33.0,0.1
673,17.0,6.7
674,20.0,6.7
675,24.0,6.7
676,19.0,6.7
677,20.0,6.7
678,24.0,6.7
679,10.0,3.6
680,26.0,3.6
681,13.0,3.6
682,21.0,3.6
683,23.0,3.6
684,3.0,3.6
685,3.0,-4.4
686,10.0,-4.4
687,3.0,-4.4
688,16.0,-4.4
689,3.0,-4.4
690,21.0,-4.4
691,16.0,-4.4
692,24.0,-4.4
693,42.0,5.5
694,9.0,5.5
695,24.0,5.5
696,17.0,5.5
697,17.0,6.1
698,24.0,6.1
699,13.0,6.1
700,10.0,6.1
701,13.0,6.1
702,21.0,6.1
703,17.0,6.1
704,0.0,-5.0
705,17.0,-5.0
706,13.0,-5.0
707,24.0,-5.0
708,16.0,-5.0
709,16.0,-5.0
710,0.0,-5.0
711,21.0,-5.0
712,20.0,-5.0
713,6.0,-5.0
714,31.0,1.0
715,17.0,1.0
716,24.0,1.0
717,30.0,1.0
718,20.0,1.0
719,19.0,1.0
720,14.0,1.0
721,13.0,1.0
722,10.0,1.0
723,13.0,4.5
724,10.0,4.5
725,7.0,4.5
726,9.0,4.5
727,17.0,4.5
728,17.0,4.5
729,17.0,4.5
730,7.0,6.0
731,9.0,6.0
732,7.0,6.0
733,24.0,6.0
734,33.0,8.7
735,27.0,8.7
736,30.0,8.7
737,20.0,8.7
738,24.0,-2.6
739,29.0,-2.6
740,17.0,-2.6
741,10.0,-2.6
742,17.0,-2.6
743,3.0,-2.6
744,10.0,-2.6
745,0.0,-2.6
746,23.0,-2.6
747,7.0,-2.6
748,10.0,-2.6
749,22.0,-2.6
750,21.0,-2.6
751,7.0,-4.9
752,23.0,-4.9
753,0.0,-4.9
754,16.0,-4.9
755,17.0,-4.9
756,21.0,-4.9
757,16.0,-4.9
758,15.0,-4.9
759,10.0,-3.0
760,39.0,-3.0
761,3.0,-3.0
762,10.0,-3.0
763,15.0,-3.0
764,10.0,-3.0
765,9.0,-3.0
766,13.0,-3.0
767,24.0,-3.0
768,23.0,-3.0
769,23.0,-4.3
770,16.0,-4.3
771,19.0,-4.3
772,24.0,-4.3
773,14.0,-4.3
774,16.0,-4.3
775,9.0,-4.3
776,11.0,-4.3
777,17.0,-4.3
778,0.0,-4.3
779,10.0,-4.3
780,10.0,-1.2
781,8.0,-1.2
782,15.0,-1.2
783,14.0,-1.2
784,17.0,-1.2
785,17.0,-1.2
786,10.0,-1.2
787,10.0,-1.2
788,16.0,-1.2
789,10.0,-1.2
790,14.0,-2.2
791,16.0,-2.2
792,17.0,-2.2
793,23.0,-2.2
794,14.0,-2.2
795,7.0,-2.2
796,10.0,-2.2
797,23.0,-2.2
798,20.0,8.1
799,0.0,8.1
800,10.0,8.1
801,7.0,2.9
802,21.0,2.9
803,30.0,2.9
804,20.0,2.9
805,17.0,2.9
806,22.0,2.9
807,9.0,-5.8
808,23.0,-5.8
809,13.0,-5.8
810,0.0,-5.8
811,19.0,-5.8
812,14.0,-5.8
813,16.0,-5.8
814,16.0,-5.8
815,21.0,-5.8
816,5.0,-4.2
817,20.0,-4.2
818,6.0,-4.2
819,12.0,-4.2
820,17.0,-4.2
821,3.0,-4.2
822,0.0,-4.2
823,23.0,-4.2
824,9.0,-4.2
825,13.0,-4.2
826,28.0,-7.6
827,10.0,-7.6
828,6.0,-7.6
829,33.0,-7.6
830,3.0,-7.6
831,13.0,-7.6
832,20.0,-7.6
833,16.0,-7.6
834,17.0,-7.6
835,19.0,-7.6
836,3.0,-7.6
837,3.0,-7.6
838,26.0,-2.1
839,7.0,-2.1
840,18.0,-2.1
841,14.0,-2.1
842,16.0,-2.1
843,13.0,-2.1
844,6.0,-2.1
845,9.0,-2.1
846,21.0,-2.1
847,7.0,-2.1
848,3.0,-2.1
849,10.0,-2.8
850,17.0,-2.8
851,19.0,-2.8
852,20.0,-2.8
853,0.0,-2.8
854,12.0,-2.8
855,17.0,-2.8
856,24.0,-8.3
857,7.0,-8.3
858,17.0,-8.3
859,7.0,-8.3
860,17.0,-8.3
861,12.0,-8.3
862,17.0,-8.3
863,21.0,-8.3
864,23.0,-8.3
865,0.0,2.8
866,22.0,2.8
867,8.0,2.8
868,17.0,2.8
869,14.0,2.8
870,13.0,2.8
871,16.0,2.8
872,27.0,-1.3
873,13.0,-1.3
874,35.0,-1.3
875,13.0,-1.3
876,22.0,-1.3
877,18.0,-1.3
878,15.0,-1.3
879,31.0,-1.3
880,13.0,-1.3
881,20.0,-1.3
882,0.0,-1.3
883,22.0,4.2
884,17.0,4.2
885,31.0,4.2
886,31.0,4.2
887,24.0,4.2
888,23.0,4.2
889,17.0,4.2
890,24.0,-3.0
891,16.0,-3.0
892,9.0,-3.0
893,9.0,-3.0
894,17.0,-3.0
895,27.0,-3.0
896,22.0,-3.0
897,16.0,-3.0
898,13.0,-3.0
899,14.0,-3.0
900,20.0,2.6
901,23.0,2.6
902,14.0,2.6
903,7.0,2.6
904,21.0,2.6
905,21.0,2.6
906,17.0,2.6
907,23.0,2.6
908,19.0,2.7
909,12.0,2.7
910,37.0,2.7
