,Pts,FPI
802,21.0,4.2
803,37.0,4.2
804,42.0,4.2
805,29.0,4.2
806,38.0,4.2
807,27.0,4.2
808,24.0,4.2
809,23.0,4.2
810,28.0,4.2
811,33.0,4.2
812,24.0,2.8
813,20.0,2.8
814,26.0,2.8
815,40.0,2.8
816,27.0,2.8
817,22.0,2.8
818,31.0,2.8
819,13.0,2.8
820,29.0,2.8
821,27.0,2.8
822,36.0,2.8
823,23.0,6.8
824,31.0,6.8
825,29.0,6.8
826,26.0,6.8
827,38.0,6.8
828,20.0,6.8
829,25.0,6.8
830,20.0,6.8
831,45.0,6.8
832,33.0,6.8
833,26.0,6.8
834,29.0,6.8
835,23.0,6.8
836,16.0,2.6
837,18.0,2.6
838,20.0,2.6
839,34.0,2.6
840,24.0,2.6
841,25.0,2.6
842,28.0,2.6
843,30.0,2.6
844,32.0,2.6
845,24.0,2.6
846,31.0,8.5
847,38.0,8.5
848,42.0,8.5
849,38.0,8.5
850,27.0,8.5
851,30.0,8.5
852,45.0,8.5
853,30.0,8.5
854,37.0,8.5
855,26.0,8.5
856,40.0,8.5
857,27.0,8.5
858,35.0,8.5
859,30.0,7.4
860,26.0,7.4
861,33.0,7.4
862,34.0,7.4
863,35.0,7.4
864,38.0,7.4
865,33.0,7.4
866,23.0,7.4
867,39.0,7.4
868,29.0,7.4
869,36.0,7.4
870,54.0,7.4
871,30.0,7.4
872,31.0,7.4
873,48.0,7.4
874,41.0,6.9
875,37.0,6.9
876,13.0,6.9
877,27.0,6.9
878,38.0,6.9
879,38.0,6.9
880,43.0,6.9
881,38.0,6.9
882,25.0,6.9
883,31.0,6.9
884,27.0,6.9
885,24.0,6.9
886,24.0,6.9
887,38.0,6.9
888,20.0,7.9
889,21.0,7.9
890,43.0,7.9
891,33.0,7.9
892,43.0,7.9
893,24.0,7.9
894,30.0,7.9
895,45.0,7.9
896,51.0,7.9
897,48.0,7.9
898,31.0,7.9
899,28.0,7.9
900,12.0,7.9
901,31.0,7.9
902,48.0,-1.3
903,27.0,-1.3
904,26.0,-1.3
905,27.0,-1.3
906,24.0,-1.3
907,24.0,2.7
908,29.0,2.7
909,23.0,2.7
910,27.0,2.7
911,37.0,2.7
912,24.0,2.7
913,24.0,2.7
914,41.0,2.7
915,27.0,2.7
916,27.0,-8.3
917,20.0,-8.3
918,28.0,-8.3
919,31.0,-8.3
