,Abbr,EPA/play,Success Rate (SR),Dropback EPA,Dropback SR,Rush EPA,Rush SR,week,year
2219,PHI,-0.302,40.0%,-0.29100000000000004,44.1%,-0.317,34.6%,7,2019
2220,DEN,-0.37200000000000005,29.9%,-0.516,30.4%,-0.057999999999999996,28.6%,7,2019
2221,NYJ,-0.542,32.2%,-0.738,23.7%,-0.18600000000000003,47.6%,7,2019
2222,ATL,0.32,55.2%,0.473,63.6%,0.025,39.1%,6,2019
2223,ARI,0.273,47.7%,0.532,57.1%,-0.201,30.4%,6,2019
2224,HOU,0.19899999999999998,54.7%,0.34700000000000003,60.8%,-0.017,45.7%,6,2019
2225,SEA,0.198,51.3%,0.457,59.6%,-0.19399999999999998,38.7%,6,2019
2226,NYJ,0.147,39.3%,0.318,50.0%,-0.214,16.7%,6,2019
2227,BAL,0.136,46.7%,0.162,47.2%,0.111,46.2%,6,2019
2228,MIN,0.132,46.4%,0.6409999999999999,61.8%,-0.36200000000000004,31.4%,6,2019
2229,DAL,0.129,51.9%,0.307,60.4%,-0.129,39.4%,6,2019
2230,KC,0.067,43.4%,0.07400000000000001,44.2%,0.040999999999999995,40.0%,6,2019
2231,GB,0.039,47.2%,0.069,45.7%,-0.013999999999999999,50.0%,6,2019
2232,NO,0.017,45.3%,0.065,48.7%,-0.059000000000000004,40.0%,6,2019
2233,WAS,0.013999999999999999,34.5%,0.09300000000000001,40.7%,-0.055,29.0%,6,2019
2234,DET,-0.003,35.2%,0.062,41.7%,-0.134,22.2%,6,2019
2235,PIT,-0.005,42.4%,0.203,60.9%,-0.13699999999999998,30.6%,6,2019
2236,CAR,-0.02,35.4%,0.136,44.4%,-0.213,24.1%,6,2019
2237,NE,-0.040999999999999995,48.1%,0.026000000000000002,54.3%,-0.135,39.4%,6,2019
2238,CLE,-0.066,44.8%,-0.052000000000000005,46.7%,-0.094,40.9%,6,2019
2239,CIN,-0.07,35.6%,0.037000000000000005,43.5%,-0.44799999999999995,7.7%,6,2019
2240,SF,-0.07,44.0%,0.02,55.6%,-0.154,33.3%,6,2019
2241,LAC,-0.08900000000000001,41.9%,0.121,47.9%,-0.809,21.4%,6,2019
2242,PHI,-0.114,47.7%,-0.065,52.3%,-0.217,38.1%,6,2019
2243,MIA,-0.151,39.2%,-0.237,35.8%,0.065,47.6%,6,2019
2244,DEN,-0.161,34.5%,-0.124,40.0%,-0.2,28.6%,6,2019
2245,JAX,-0.23,30.9%,-0.217,42.4%,-0.25,13.6%,6,2019
2246,TB,-0.247,41.0%,-0.29100000000000004,43.1%,-0.023,30.8%,6,2019
2247,TEN,-0.391,35.4%,-0.342,42.6%,-0.517,16.7%,6,2019
2248,NYG,-0.53,32.7%,-0.652,35.3%,-0.255,26.7%,6,2019
2249,LA,-0.5870000000000001,36.5%,-0.648,23.3%,-0.504,54.5%,6,2019
2250,HOU,0.484,52.9%,0.985,63.9%,-0.046,41.2%,5,2019
2251,MIN,0.31,48.5%,0.618,57.6%,0.002,39.4%,5,2019
2252,ARI,0.23800000000000002,49.3%,0.298,48.6%,0.177,50.0%,5,2019
2253,CAR,0.198,47.6%,0.033,43.2%,0.43200000000000005,53.8%,5,2019
2254,SF,0.17600000000000002,43.1%,0.19,46.9%,0.165,40.0%,5,2019
2255,LA,0.16399999999999998,44.9%,0.267,46.2%,-0.154,41.2%,5,2019
2256,SEA,0.161,46.4%,0.392,53.1%,-0.039,40.5%,5,2019
2257,NE,0.14400000000000002,44.2%,0.27,50.0%,-0.08800000000000001,33.3%,5,2019
2258,NO,0.14,47.1%,0.3,52.4%,-0.11900000000000001,38.5%,5,2019
2259,GB,0.139,50.7%,0.129,46.5%,0.157,57.7%,5,2019
2260,CIN,0.083,53.0%,0.23399999999999999,54.8%,-0.18,50.0%,5,2019
2261,DAL,0.046,56.3%,0.061,54.7%,0.002,61.1%,5,2019
2262,ATL,0.039,42.3%,0.079,47.2%,-0.079,27.8%,5,2019
2263,TB,0.038,43.9%,0.037000000000000005,42.1%,0.040999999999999995,47.4%,5,2019
2264,LV,0.023,47.2%,0.091,52.9%,-0.037000000000000005,42.1%,5,2019
2265,IND,0.022000000000000002,55.7%,-0.049,56.8%,0.084,54.8%,5,2019
2266,CHI,-0.006,40.0%,0.122,47.4%,-0.293,23.5%,5,2019
2267,JAX,-0.025,47.6%,0.06,53.6%,-0.20600000000000002,34.6%,5,2019
2268,DEN,-0.034,44.1%,-0.185,39.3%,0.102,48.4%,5,2019
2269,TEN,-0.08199999999999999,38.6%,-0.08800000000000001,43.8%,-0.076,32.0%,5,2019
2270,KC,-0.086,37.3%,-0.025,39.6%,-0.353,27.3%,5,2019
2271,BAL,-0.09699999999999999,39.2%,-0.188,34.9%,0.012,44.4%,5,2019
2272,BUF,-0.1,40.3%,-0.076,40.0%,-0.145,40.9%,5,2019
2273,PIT,-0.1,43.9%,-0.062,43.6%,-0.183,44.4%,5,2019
2274,PHI,-0.125,40.6%,-0.0,45.9%,-0.29600000000000004,33.3%,5,2019
2275,NYG,-0.171,38.2%,-0.15,35.4%,-0.22,45.0%,5,2019
2276,LAC,-0.243,40.6%,-0.183,48.1%,-0.425,17.6%,5,2019
2277,WAS,-0.483,25.0%,-0.6940000000000001,27.0%,-0.07,21.1%,5,2019
2278,CLE,-0.515,26.1%,-0.8190000000000001,28.6%,-0.042,22.2%,5,2019
2279,NYJ,-0.632,29.8%,-0.9109999999999999,27.0%,-0.11599999999999999,35.0%,5,2019
2280,CLE,0.39,45.3%,0.49200000000000005,51.4%,0.266,37.9%,4,2019
2281,PHI,0.321,54.2%,0.27699999999999997,56.7%,0.368,51.7%,4,2019
2282,TB,0.27399999999999997,47.9%,0.5489999999999999,60.5%,-0.11900000000000001,30.0%,4,2019
2283,LAC,0.251,54.7%,0.626,72.7%,-0.14800000000000002,35.5%,4,2019
2284,GB,0.198,53.8%,0.312,58.7%,-0.284,33.3%,4,2019
2285,KC,0.134,45.6%,0.263,47.9%,-0.17600000000000002,40.0%,4,2019
2286,LV,0.13,44.4%,0.233,43.8%,0.023,45.2%,4,2019
2287,SEA,0.128,53.2%,0.17600000000000002,55.6%,0.061,50.0%,4,2019
2288,JAX,0.105,41.5%,0.052000000000000005,43.9%,0.158,39.0%,4,2019
2289,PIT,0.083,54.5%,0.377,71.9%,-0.326,30.4%,4,2019
2290,TEN,0.07200000000000001,46.8%,0.275,44.8%,-0.107,48.5%,4,2019
2291,DEN,0.06,42.6%,0.14400000000000002,48.7%,-0.159,26.7%,4,2019
2292,BAL,-0.016,52.2%,-0.036000000000000004,47.5%,0.013000000000000001,59.3%,4,2019
2293,LA,-0.033,48.9%,-0.018000000000000002,51.9%,-0.142,27.3%,4,2019
2294,CHI,-0.048,35.7%,0.18100000000000002,52.6%,-0.321,15.6%,4,2019
2295,NYG,-0.051,48.6%,0.18600000000000003,53.7%,-0.34600000000000003,42.4%,4,2019
2296,IND,-0.068,36.5%,-0.022000000000000002,35.8%,-0.182,38.1%,4,2019
2297,ATL,-0.1,42.3%,-0.027000000000000003,44.4%,-0.41,33.3%,4,2019
2298,MIA,-0.10300000000000001,48.1%,-0.067,50.0%,-0.161,45.0%,4,2019
2299,DET,-0.105,48.7%,0.161,54.8%,-0.434,41.2%,4,2019
2300,CAR,-0.133,40.3%,-0.076,48.7%,-0.213,28.6%,4,2019
2301,ARI,-0.135,45.2%,-0.222,41.5%,0.034,52.4%,4,2019
2302,DAL,-0.139,38.6%,0.01,50.0%,-0.43799999999999994,15.8%,4,2019
2303,NO,-0.147,42.9%,-0.19699999999999998,39.0%,-0.076,48.3%,4,2019
2304,NE,-0.207,28.3%,-0.298,20.0%,-0.023,45.0%,4,2019
2305,BUF,-0.222,38.7%,-0.314,40.0%,0.031,35.0%,4,2019
2306,HOU,-0.22699999999999998,39.4%,-0.44799999999999995,37.0%,0.284,45.0%,4,2019
2307,MIN,-0.22699999999999998,32.2%,-0.294,32.6%,-0.05,31.3%,4,2019
2308,CIN,-0.308,34.8%,-0.45,27.1%,0.07,55.6%,4,2019
2309,WAS,-0.5529999999999999,28.6%,-0.58,38.2%,-0.49200000000000005,6.7%,4,2019
2310,KC,0.315,56.9%,0.483,59.5%,0.006999999999999999,52.2%,3,2019
2311,ATL,0.303,52.5%,0.494,61.5%,-0.069,35.0%,3,2019
2312,CAR,0.27699999999999997,48.3%,0.451,55.2%,0.10300000000000001,41.4%,3,2019
2313,IND,0.27699999999999997,53.8%,0.523,65.1%,-0.205,31.8%,3,2019
2314,MIN,0.256,50.0%,0.546,56.0%,0.049,45.7%,3,2019
2315,BAL,0.231,46.8%,0.099,37.3%,0.47200000000000003,64.3%,3,2019
2316,HOU,0.22699999999999998,47.4%,0.583,56.1%,-0.6859999999999999,25.0%,3,2019
2317,DAL,0.175,52.9%,0.161,48.6%,0.19,57.1%,3,2019
2318,TB,0.146,50.0%,0.245,47.7%,0.001,53.3%,3,2019
2319,GB,0.136,39.6%,0.221,44.8%,0.033,33.3%,3,2019
2320,NYG,0.124,36.1%,0.243,40.0%,-0.212,25.0%,3,2019
2321,CHI,0.10300000000000001,46.0%,0.28600000000000003,57.9%,-0.177,28.0%,3,2019
2322,NO,0.077,47.3%,0.23800000000000002,48.5%,-0.16399999999999998,45.5%,3,2019
2323,DET,0.055999999999999994,35.6%,0.139,35.3%,-0.057,36.0%,3,2019
2324,LA,0.044000000000000004,44.4%,0.113,46.3%,-0.084,40.9%,3,2019
2325,LAC,-0.003,44.6%,0.081,44.6%,-0.265,44.4%,3,2019
2326,SEA,-0.013000000000000001,40.2%,0.27899999999999997,50.0%,-0.809,13.6%,3,2019
2327,NE,-0.022000000000000002,41.9%,0.12,50.0%,-0.284,26.9%,3,2019
2328,BUF,-0.059000000000000004,46.6%,-0.028999999999999998,47.6%,-0.099,45.2%,3,2019
2329,JAX,-0.059000000000000004,35.8%,0.085,41.7%,-0.365,23.5%,3,2019
2330,LV,-0.07400000000000001,40.7%,-0.038,46.2%,-0.145,30.0%,3,2019
2331,PHI,-0.10099999999999999,39.2%,-0.013000000000000001,40.4%,-0.254,37.0%,3,2019
2332,ARI,-0.106,44.0%,-0.249,38.2%,0.29,60.0%,3,2019
2333,DEN,-0.11,44.4%,-0.31,40.0%,0.079,48.6%,3,2019
2334,TEN,-0.139,31.6%,-0.106,32.1%,-0.218,30.4%,3,2019
2335,SF,-0.14,47.4%,0.08900000000000001,52.8%,-0.337,42.9%,3,2019
2336,CIN,-0.159,37.9%,-0.2,41.0%,-0.07400000000000001,31.6%,3,2019
2337,CLE,-0.162,36.8%,-0.10800000000000001,39.5%,-0.256,32.0%,3,2019
2338,WAS,-0.225,49.3%,-0.147,56.6%,-0.434,30.0%,3,2019
2339,PIT,-0.235,32.1%,-0.187,25.7%,-0.33,44.4%,3,2019
2340,MIA,-0.242,38.6%,-0.122,40.8%,-0.52,33.3%,3,2019
2341,NYJ,-0.612,22.0%,-0.628,25.8%,-0.584,15.8%,3,2019
2342,KC,0.22,49.3%,0.147,49.0%,0.389,50.0%,21,2019
2343,SF,0.107,47.3%,0.038,47.2%,0.23800000000000002,47.4%,21,2019
2344,KC,0.39799999999999996,59.1%,0.568,60.9%,0.006,55.0%,20,2019
2345,SF,0.345,54.9%,0.204,58.3%,0.389,53.8%,20,2019
2346,GB,0.126,51.7%,0.289,51.2%,-0.284,52.9%,20,2019
2347,TEN,0.125,42.6%,0.242,47.4%,-0.067,34.8%,20,2019
2348,SF,0.40399999999999997,58.8%,0.679,60.7%,0.21100000000000002,57.5%,2,2019
2349,DAL,0.28,55.9%,0.44799999999999995,64.7%,0.113,47.1%,2,2019
2350,KC,0.19699999999999998,43.8%,0.47,53.8%,-0.47700000000000004,19.0%,2,2019
2351,NE,0.18,50.7%,0.462,57.1%,-0.11,44.1%,2,2019
2352,BUF,0.168,44.1%,0.228,50.0%,0.09300000000000001,36.7%,2,2019
2353,BAL,0.126,44.0%,0.301,52.2%,-0.151,31.0%,2,2019
2354,LA,0.102,43.8%,0.147,43.2%,0.04,44.4%,2,2019
2355,ARI,0.081,38.2%,0.22399999999999998,43.2%,-0.49,18.2%,2,2019
2356,WAS,0.064,46.6%,0.154,51.2%,-0.154,35.3%,2,2019
2357,SEA,0.042,47.3%,0.34700000000000003,57.8%,-0.43200000000000005,31.0%,2,2019
2358,IND,0.037000000000000005,42.6%,0.024,43.2%,0.051,41.9%,2,2019
2359,CHI,0.033,41.7%,0.055,43.3%,0.012,40.0%,2,2019
2360,DEN,0.032,43.8%,0.141,52.7%,-0.20800000000000002,24.0%,2,2019
2361,CLE,0.02,34.9%,0.111,36.6%,-0.149,31.8%,2,2019
2362,TB,0.017,41.4%,0.145,46.7%,-0.12,35.7%,2,2019
2363,DET,-0.003,45.8%,0.165,54.5%,-0.218,34.6%,2,2019
2364,LAC,-0.003,49.2%,0.113,48.8%,-0.201,50.0%,2,2019
2365,TEN,-0.043,43.9%,-0.021,42.9%,-0.079,45.5%,2,2019
2366,PIT,-0.046,49.1%,-0.08199999999999999,48.7%,0.040999999999999995,50.0%,2,2019
2367,ATL,-0.047,37.1%,0.018000000000000002,43.5%,-0.23199999999999998,18.8%,2,2019
2368,CIN,-0.076,36.2%,0.040999999999999995,42.0%,-0.38299999999999995,21.1%,2,2019
2369,NYG,-0.094,42.6%,-0.203,40.4%,0.149,47.6%,2,2019
2370,HOU,-0.10099999999999999,41.3%,-0.188,37.1%,0.008,46.4%,2,2019
2371,LV,-0.106,45.2%,-0.183,45.5%,0.081,44.4%,2,2019
2372,GB,-0.111,39.4%,0.012,39.5%,-0.252,39.4%,2,2019
2373,PHI,-0.113,38.5%,-0.044000000000000004,42.6%,-0.26899999999999996,29.2%,2,2019
2374,MIN,-0.129,35.4%,-0.374,30.8%,0.24,42.3%,2,2019
2375,JAX,-0.158,36.5%,-0.105,41.3%,-0.301,23.5%,2,2019
2376,NO,-0.228,38.1%,-0.172,40.0%,-0.366,33.3%,2,2019
2377,CAR,-0.266,36.5%,-0.08800000000000001,41.1%,-0.8190000000000001,22.2%,2,2019
2378,NYJ,-0.313,29.7%,-0.363,27.5%,-0.23,33.3%,2,2019
2379,MIA,-0.735,27.4%,-0.846,29.2%,-0.354,21.4%,2,2019
2380,KC,0.466,51.7%,0.664,56.8%,-0.153,35.7%,19,2019
2381,GB,0.249,45.0%,0.42100000000000004,50.0%,0.024,38.5%,19,2019
2382,SEA,0.23600000000000002,54.2%,0.39,57.1%,-0.14300000000000002,47.1%,19,2019
2383,TEN,0.223,45.1%,0.209,41.2%,0.23,47.1%,19,2019
2384,HOU,0.008,43.8%,0.078,45.9%,-0.214,36.8%,19,2019
2385,SF,-0.01,51.5%,-0.034,42.9%,0.001,55.6%,19,2019
2386,BAL,-0.13,42.4%,-0.086,42.3%,-0.27899999999999997,42.9%,19,2019
2387,MIN,-0.41200000000000003,26.1%,-0.39,30.6%,-0.49,10.0%,19,2019
2388,SEA,0.2,36.8%,0.505,50.0%,-0.41100000000000003,10.5%,18,2019
2389,TEN,0.05,44.1%,0.005,40.0%,0.073,46.2%,18,2019
2390,MIN,-0.006,44.2%,0.162,55.6%,-0.154,34.1%,18,2019
2391,BUF,-0.025,41.5%,-0.047,39.6%,0.016,44.8%,18,2019
2392,PHI,-0.057999999999999996,35.9%,-0.063,37.5%,-0.049,33.3%,18,2019
2393,HOU,-0.077,39.1%,-0.042,43.6%,-0.132,32.0%,18,2019
2394,NE,-0.092,39.3%,-0.075,41.0%,-0.122,36.4%,18,2019
2395,NO,-0.11900000000000001,45.5%,-0.275,46.2%,0.261,43.8%,18,2019
2396,TEN,0.47100000000000003,61.0%,0.715,62.5%,0.304,60.0%,17,2019
2397,SF,0.38,55.1%,0.5820000000000001,60.0%,0.171,50.0%,17,2019
2398,NO,0.312,52.3%,0.682,64.7%,-0.09300000000000001,38.7%,17,2019
2399,KC,0.223,44.9%,0.021,43.3%,0.542,47.4%,17,2019
2400,CIN,0.163,45.5%,0.34,50.0%,-0.004,41.2%,17,2019
2401,DAL,0.149,41.9%,0.14300000000000002,38.5%,0.157,45.7%,17,2019
2402,JAX,0.14800000000000002,52.3%,0.265,56.5%,-0.13699999999999998,42.1%,17,2019
2403,MIA,0.146,49.3%,0.265,57.7%,-0.21600000000000003,23.5%,17,2019
2404,LAC,0.128,48.1%,0.175,50.9%,0.024,41.7%,17,2019
2405,SEA,0.115,47.3%,0.239,52.9%,-0.159,34.8%,17,2019
2406,LA,0.10300000000000001,43.9%,0.361,46.9%,-0.27899999999999997,39.4%,17,2019
2407,PHI,0.063,39.2%,0.146,44.4%,-0.067,31.0%,17,2019
2408,NE,0.04,41.7%,0.013999999999999999,36.4%,0.07200000000000001,48.1%,17,2019
2409,GB,0.039,39.1%,0.10099999999999999,40.7%,-0.09,35.7%,17,2019
2410,CLE,0.011000000000000001,38.9%,0.10099999999999999,34.2%,-0.201,50.0%,17,2019
2411,ARI,0.004,46.3%,0.16899999999999998,49.0%,-0.44799999999999995,38.9%,17,2019
2412,LV,-0.006,35.2%,0.11900000000000001,40.8%,-0.284,22.7%,17,2019
2413,CHI,-0.03,46.7%,-0.054000000000000006,42.9%,0.001,51.5%,17,2019
2414,HOU,-0.035,43.1%,-0.068,44.4%,0.039,40.0%,17,2019
2415,NYJ,-0.08199999999999999,40.0%,0.087,48.7%,-0.33399999999999996,26.9%,17,2019
2416,BAL,-0.086,43.5%,-0.182,42.3%,-0.027999999999999997,44.2%,17,2019
2417,DEN,-0.10300000000000001,46.7%,0.203,54.1%,-0.596,34.8%,17,2019
2418,DET,-0.126,40.0%,-0.287,38.9%,0.115,41.7%,17,2019
2419,ATL,-0.142,43.2%,-0.081,45.0%,-0.275,39.3%,17,2019
2420,MIN,-0.14800000000000002,38.8%,-0.124,50.0%,-0.16699999999999998,29.6%,17,2019
2421,IND,-0.157,42.9%,-0.41600000000000004,33.3%,0.141,53.8%,17,2019
2422,TB,-0.23199999999999998,38.0%,-0.259,36.7%,-0.19,40.0%,17,2019
2423,NYG,-0.243,37.8%,-0.10800000000000001,38.9%,-0.609,35.0%,17,2019
2424,BUF,-0.261,36.5%,-0.302,34.1%,-0.185,40.9%,17,2019
2425,CAR,-0.312,39.4%,-0.23399999999999999,43.9%,-0.628,21.4%,17,2019
2426,PIT,-0.39,30.0%,-0.45399999999999996,25.0%,-0.309,36.4%,17,2019
2427,WAS,-0.39799999999999996,35.5%,-0.523,35.7%,-0.135,35.0%,17,2019
2428,NYG,0.45799999999999996,52.9%,0.551,55.3%,0.267,47.8%,16,2019
2429,BAL,0.256,54.9%,0.377,54.3%,0.138,55.6%,16,2019
2430,MIA,0.221,44.2%,0.408,50.9%,-0.14800000000000002,31.0%,16,2019
2431,WAS,0.20800000000000002,44.3%,0.433,53.3%,-0.196,28.0%,16,2019
2432,KC,0.201,46.2%,0.43799999999999994,51.3%,-0.156,38.5%,16,2019
2433,ATL,0.162,50.0%,0.23,57.4%,0.033,36.0%,16,2019
2434,DEN,0.158,44.9%,0.185,47.5%,0.122,41.4%,16,2019
2435,NO,0.158,44.1%,0.192,42.6%,0.081,47.6%,16,2019
2436,ARI,0.152,44.8%,0.128,44.1%,0.177,45.5%,16,2019
2437,IND,0.146,50.8%,-0.057999999999999996,42.4%,0.387,60.7%,16,2019
2438,LV,0.142,44.4%,0.493,58.8%,-0.27,27.6%,16,2019
2439,LAC,0.084,46.7%,0.179,52.3%,-0.17800000000000002,31.3%,16,2019
2440,CIN,0.076,38.4%,0.252,49.2%,-0.353,12.0%,16,2019
2441,NE,0.066,52.9%,0.068,47.4%,0.064,59.4%,16,2019
2442,LA,0.048,44.3%,0.095,46.0%,-0.069,40.0%,16,2019
2443,TEN,0.04,45.2%,0.042,47.2%,0.036000000000000004,42.3%,16,2019
2444,PHI,0.037000000000000005,46.5%,0.158,51.1%,-0.17300000000000001,38.5%,16,2019
2445,BUF,0.005,37.0%,0.092,37.5%,-0.12,36.4%,16,2019
2446,CLE,-0.004,41.4%,0.209,52.5%,-0.478,16.7%,16,2019
2447,JAX,-0.022000000000000002,39.3%,-0.036000000000000004,36.4%,0.013999999999999999,47.1%,16,2019
2448,SF,-0.055999999999999994,41.8%,-0.185,41.2%,0.152,42.9%,16,2019
2449,DET,-0.08199999999999999,40.0%,-0.16699999999999998,31.0%,0.035,52.4%,16,2019
2450,DAL,-0.159,45.2%,-0.106,44.7%,-0.324,46.7%,16,2019
2451,NYJ,-0.174,33.3%,-0.078,43.3%,-0.27,23.3%,16,2019
2452,PIT,-0.174,28.4%,-0.115,30.2%,-0.27899999999999997,25.0%,16,2019
2453,CAR,-0.18899999999999997,36.6%,-0.141,39.6%,-0.331,27.8%,16,2019
2454,GB,-0.18899999999999997,47.9%,-0.428,45.5%,0.174,51.7%,16,2019
2455,CHI,-0.203,35.5%,-0.253,36.6%,-0.105,33.3%,16,2019
2456,TB,-0.214,39.7%,-0.08900000000000001,48.1%,-0.57,15.8%,16,2019
2457,HOU,-0.222,33.8%,-0.099,37.8%,-0.5,25.0%,16,2019
2458,SEA,-0.26,35.1%,-0.258,29.7%,-0.263,45.0%,16,2019
2459,MIN,-0.5539999999999999,25.9%,-0.674,23.7%,-0.27,31.3%,16,2019
2460,BAL,0.435,50.0%,0.723,58.6%,0.165,41.9%,15,2019
2461,DAL,0.332,54.4%,0.322,46.2%,0.337,59.5%,15,2019
2462,ARI,0.321,58.3%,0.331,57.1%,0.312,59.4%,15,2019
2463,NO,0.26,56.3%,0.667,79.4%,-0.20199999999999999,30.0%,15,2019
2464,PHI,0.253,54.5%,0.281,60.0%,0.203,44.4%,15,2019
2465,SEA,0.242,46.2%,0.505,54.8%,0.002,38.2%,15,2019
2466,TB,0.221,42.3%,0.573,59.1%,-0.35200000000000004,14.8%,15,2019
2467,KC,0.195,52.3%,0.34299999999999997,60.5%,-0.094,36.4%,15,2019
2468,HOU,0.124,44.4%,0.20800000000000002,50.0%,0.037000000000000005,38.7%,15,2019
2469,CLE,0.122,52.2%,0.054000000000000006,54.2%,0.278,47.6%,15,2019
2470,ATL,0.12,49.2%,0.228,48.9%,-0.161,50.0%,15,2019
2471,MIN,0.11900000000000001,41.9%,0.34,59.3%,-0.051,28.6%,15,2019
2472,TEN,0.09699999999999999,44.8%,0.077,55.0%,0.128,29.6%,15,2019
2473,NYG,0.09300000000000001,49.3%,0.11699999999999999,52.9%,0.068,45.5%,15,2019
2474,NE,0.059000000000000004,42.9%,-0.037000000000000005,36.4%,0.165,50.0%,15,2019
2475,LV,0.057999999999999996,46.7%,0.139,46.5%,-0.049,46.9%,15,2019
2476,JAX,0.036000000000000004,40.4%,0.225,44.7%,-0.342,31.6%,15,2019
2477,WAS,0.035,47.2%,0.023,57.6%,0.055,30.0%,15,2019
2478,CAR,0.013999999999999999,53.5%,-0.027000000000000003,54.3%,0.09,52.0%,15,2019
2479,SF,0.004,45.3%,0.145,47.4%,-0.203,42.3%,15,2019
2480,MIA,-0.05,42.3%,0.032,48.0%,-0.247,28.6%,15,2019
2481,LA,-0.057,46.5%,-0.012,51.7%,-0.259,23.1%,15,2019
2482,GB,-0.11699999999999999,32.2%,-0.09300000000000001,38.9%,-0.155,21.7%,15,2019
2483,CHI,-0.125,41.0%,-0.07400000000000001,44.1%,-0.25,33.3%,15,2019
2484,BUF,-0.141,37.5%,-0.075,41.9%,-0.204,33.3%,15,2019
2485,IND,-0.14400000000000002,35.7%,-0.114,37.5%,-0.22,31.3%,15,2019
2486,NYJ,-0.19399999999999998,41.4%,-0.24100000000000002,40.0%,-0.12300000000000001,43.5%,15,2019
2487,DEN,-0.198,32.2%,-0.192,31.8%,-0.21600000000000003,33.3%,15,2019
2488,CIN,-0.228,43.1%,-0.373,44.1%,-0.07,41.9%,15,2019
2489,DET,-0.354,36.5%,-0.428,36.7%,-0.095,35.7%,15,2019
2490,PIT,-0.382,38.6%,-0.376,38.1%,-0.401,40.0%,15,2019
2491,LAC,-0.45799999999999996,45.2%,-0.414,52.4%,-0.552,30.0%,15,2019
2492,LAC,0.63,58.6%,0.987,58.6%,0.273,58.6%,14,2019
2493,TEN,0.418,55.0%,0.675,64.5%,0.14300000000000002,44.8%,14,2019
2494,SF,0.374,49.2%,0.532,53.7%,0.079,40.9%,14,2019
2495,DEN,0.26899999999999996,43.1%,0.7140000000000001,60.6%,-0.319,20.0%,14,2019
2496,ATL,0.163,42.6%,0.20800000000000002,43.2%,0.11,41.9%,14,2019
2497,NO,0.16,52.1%,0.379,57.8%,-0.218,42.3%,14,2019
2498,LA,0.098,50.7%,0.165,55.9%,0.027999999999999997,45.5%,14,2019
2499,CHI,0.08900000000000001,52.2%,0.327,60.0%,-0.24,41.4%,14,2019
2500,DAL,0.08,43.1%,0.065,47.1%,0.11699999999999999,33.3%,14,2019
2501,GB,0.068,40.4%,-0.078,35.3%,0.28300000000000003,47.8%,14,2019
2502,CLE,0.067,39.6%,0.094,44.8%,0.034,33.3%,14,2019
2503,MIA,0.057999999999999996,45.8%,0.172,54.0%,-0.201,27.3%,14,2019
2504,TB,0.032,52.0%,0.14400000000000002,61.5%,-0.222,30.4%,14,2019
2505,IND,0.025,32.3%,0.084,35.7%,-0.099,25.0%,14,2019
2506,NYJ,0.01,42.0%,0.242,50.0%,-0.275,32.3%,14,2019
2507,PHI,0.01,46.6%,0.09300000000000001,47.4%,-0.14300000000000002,45.2%,14,2019
2508,PIT,-0.001,47.5%,0.368,53.6%,-0.33399999999999996,41.9%,14,2019
2509,CIN,-0.01,50.7%,-0.095,48.8%,0.106,53.3%,14,2019
2510,WAS,-0.019,41.0%,0.034,43.8%,-0.079,37.9%,14,2019
2511,BAL,-0.023,37.9%,0.034,42.3%,-0.07,34.4%,14,2019
2512,KC,-0.023,37.8%,-0.017,41.2%,-0.036000000000000004,30.4%,14,2019
2513,MIN,-0.040999999999999995,42.9%,0.2,53.1%,-0.243,34.2%,14,2019
2514,CAR,-0.053,56.3%,-0.132,52.8%,0.17800000000000002,66.7%,14,2019
2515,HOU,-0.057999999999999996,42.7%,-0.133,39.0%,0.217,56.3%,14,2019
2516,LV,-0.07200000000000001,45.2%,-0.05,50.0%,-0.114,36.4%,14,2019
2517,NYG,-0.10300000000000001,35.3%,-0.057,28.1%,-0.18100000000000002,47.4%,14,2019
2518,JAX,-0.107,37.3%,-0.122,36.7%,-0.068,38.9%,14,2019
2519,ARI,-0.127,42.4%,-0.133,45.0%,-0.115,36.8%,14,2019
2520,NE,-0.13699999999999998,38.5%,-0.163,38.6%,-0.084,38.1%,14,2019
2521,SEA,-0.149,43.9%,-0.171,39.6%,-0.092,55.6%,14,2019
2522,DET,-0.19,38.0%,-0.16,40.8%,-0.256,31.8%,14,2019
2523,BUF,-0.225,32.4%,-0.341,29.2%,0.016,39.1%,14,2019
2524,GB,0.29100000000000004,44.4%,0.62,53.7%,-0.322,27.3%,13,2019
2525,MIA,0.271,53.6%,0.444,64.7%,-0.218,22.2%,13,2019
2526,BUF,0.21899999999999997,49.2%,0.612,61.8%,-0.212,35.5%,13,2019
2527,LA,0.195,48.7%,0.467,53.2%,-0.217,41.9%,13,2019
2528,KC,0.17,50.8%,0.408,55.6%,-0.14800000000000002,44.4%,13,2019
2529,PHI,0.16399999999999998,45.6%,0.24600000000000002,49.0%,-0.045,36.8%,13,2019
2530,HOU,0.156,42.3%,0.441,56.3%,-0.299,20.0%,13,2019
2531,SF,0.128,43.6%,0.125,50.0%,0.132,37.0%,13,2019
2532,SEA,0.099,53.3%,-0.059000000000000004,50.0%,0.245,56.4%,13,2019
2533,WAS,0.09,45.2%,-0.183,32.4%,0.42200000000000004,60.7%,13,2019
2534,CHI,0.081,55.6%,0.185,58.1%,-0.14400000000000002,50.0%,13,2019
2535,NE,0.068,40.0%,0.10400000000000001,38.6%,-0.006,42.9%,13,2019
