RK,TEAM,TOTAL DVOA,LAST WEEK,TOTAL DAVE,RANK,W-L,OFFENSE DVOA,OFF. RANK,DEFENSE DVOA,DEF. RANK,S.T. DVOA,S.T. RANK,WEEK,YEAR,WEIGHTED DVOA,RANK,non-adj VOA,Last Year,ESTIM. WINS,EW RANK,SCHEDULE RANK,RANK,PYTH WINS,RANK,VAR.,RANK,PAST SCHED,RANK,FUTURE SCHED,RANK
24,SD,-0.185,19,-0.038,19,1-2,-0.035,14,0.072,23,-0.078,28,3,2015,,,,,,,,,,,,,,,,
25,CLE,-0.231,21,-0.152,27,1-2,-0.229,30,0.108,26,0.106,2,3,2015,,,,,,,,,,,,,,,,
26,MIA,-0.279,15,-0.133,26,1-2,-0.173,26,0.113,27,0.007,16,3,2015,,,,,,,,,,,,,,,,
27,JAC,-0.293,20,-0.214,29,1-2,-0.112,20,0.157,29,-0.024,23,3,2015,,,,,,,,,,,,,,,,
28,HOU,-0.309,28,-0.155,28,1-2,-0.170,25,0.012,13,-0.126,32,3,2015,,,,,,,,,,,,,,,,
29,NO,-0.324,31,-0.127,24,0-3,-0.049,18,0.264,31,-0.012,20,3,2015,,,,,,,,,,,,,,,,
30,TB,-0.375,30,-0.239,31,1-2,-0.384,32,-0.021,10,-0.011,19,3,2015,,,,,,,,,,,,,,,,
31,SF,-0.514,27,-0.227,30,1-2,-0.219,29,0.253,30,-0.041,25,3,2015,,,,,,,,,,,,,,,,
32,CHI,-0.702,32,-0.328,32,0-3,-0.216,28,0.360,32,-0.126,3,3,2015,,,,,,,,,,,,,,,,
1,NE,0.521,3,0.322,1,3-0,0.447,1,-0.001,16,0.074,4,4,2015,,,,,,,,,,,,,,,,
2,ARI,0.498,1,0.252,3,3-1,0.227,5,-0.232,3,0.039,9,4,2015,,,,,,,,,,,,,,,,
3,GB,0.425,2,0.273,2,4-0,0.311,3,-0.090,7,0.024,13,4,2015,,,,,,,,,,,,,,,,
4,CIN,0.403,4,0.250,4,4-0,0.365,2,-0.057,10,-0.018,22,4,2015,,,,,,,,,,,,,,,,
5,ATL,0.186,10,0.115,8,4-0,0.237,4,0.076,23,0.025,12,4,2015,,,,,,,,,,,,,,,,
6,PIT,0.177,6,0.116,7,2-2,0.209,6,-0.013,13,-0.045,24,4,2015,,,,,,,,,,,,,,,,
7,DEN,0.169,7,0.159,6,4-0,-0.238,30,-0.332,1,0.075,3,4,2015,,,,,,,,,,,,,,,,
8,BUF,0.163,5,0.065,11,2-2,0.108,7,-0.050,11,0.006,14,4,2015,,,,,,,,,,,,,,,,
9,NYJ,0.157,9,0.088,9,3-1,-0.029,16,-0.255,2,-0.069,27,4,2015,,,,,,,,,,,,,,,,
10,CAR,0.116,8,0.048,12,4-0,0.027,11,-0.185,4,-0.096,30,4,2015,,,,,,,,,,,,,,,,
11,NYG,0.102,13,0.041,13,2-2,-0.004,15,-0.068,9,0.038,10,4,2015,,,,,,,,,,,,,,,,
12,SEA,0.098,12,0.161,5,2-2,-0.060,20,-0.009,14,0.148,1,4,2015,,,,,,,,,,,,,,,,
13,STL,0.067,17,0.072,10,2-2,-0.060,21,-0.076,8,0.052,6,4,2015,,,,,,,,,,,,,,,,
14,BAL,0.022,20,0.037,14,1-3,-0.048,19,-0.019,12,0.050,7,4,2015,,,,,,,,,,,,,,,,
15,TEN,0.016,11,-0.080,24,1-2,0.014,13,-0.095,6,-0.093,29,4,2015,,,,,,,,,,,,,,,,
16,OAK,0.015,14,-0.038,18,2-2,0.029,10,0.078,24,0.063,5,4,2015,,,,,,,,,,,,,,,,
17,PHI,0.001,18,0.020,15,1-3,-0.130,26,-0.141,5,-0.009,20,4,2015,,,,,,,,,,,,,,,,
18,WAS,-0.012,19,-0.095,25,2-2,0.011,14,0.015,17,-0.008,19,4,2015,,,,,,,,,,,,,,,,
19,DAL,-0.035,15,-0.026,16,2-2,0.046,9,0.067,22,-0.013,21,4,2015,,,,,,,,,,,,,,,,
20,MIN,-0.086,16,-0.027,17,2-2,-0.030,17,0.050,21,-0.006,18,4,2015,,,,,,,,,,,,,,,,
21,IND,-0.128,22,-0.046,20,2-2,-0.083,24,0.042,19,-0.003,17,4,2015,,,,,,,,,,,,,,,,
22,DET,-0.128,23,-0.053,21,0-4,-0.079,23,0.050,20,0.001,16,4,2015,,,,,,,,,,,,,,,,
23,SD,-0.133,24,-0.046,19,2-2,0.027,12,0.080,25,-0.079,28,4,2015,,,,,,,,,,,,,,,,
24,CLE,-0.137,25,-0.121,26,1-3,-0.122,25,0.137,27,0.123,2,4,2015,,,,,,,,,,,,,,,,
25,NO,-0.145,29,-0.074,23,1-3,0.059,8,0.209,32,0.004,15,4,2015,,,,,,,,,,,,,,,,
26,JAC,-0.159,27,-0.161,27,1-3,-0.070,22,0.035,18,-0.053,25,4,2015,,,,,,,,,,,,,,,,
27,KC,-0.167,21,-0.066,22,1-3,-0.033,18,0.178,30,0.045,8,4,2015,,,,,,,,,,,,,,,,
28,MIA,-0.286,26,-0.174,28,1-3,-0.142,28,0.170,28,0.027,11,4,2015,,,,,,,,,,,,,,,,
29,TB,-0.366,30,-0.269,31,1-3,-0.334,32,-0.009,15,-0.041,23,4,2015,,,,,,,,,,,,,,,,
30,HOU,-0.413,28,-0.251,29,1-3,-0.194,29,0.099,26,-0.119,32,4,2015,,,,,,,,,,,,,,,,
31,CHI,-0.415,32,-0.259,30,1-3,-0.136,27,0.180,31,-0.099,31,4,2015,,,,,,,,,,,,,,,,
32,SF,-0.489,31,-0.285,32,1-3,-0.258,31,0.171,29,-0.060,26,4,2015,,,,,,,,,,,,,,,,
1,NE,0.559,1,0.413,1,4-0,0.381,1,-0.087,9,0.091,3,5,2015,,,,,,,,,,,,,,,,
2,ARI,0.515,2,0.362,2,4-1,0.252,3,-0.222,3,0.041,6,5,2015,,,,,,,,,,,,,,,,
3,GB,0.412,3,0.325,3,5-0,0.201,5,-0.193,4,0.018,13,5,2015,,,,,,,,,,,,,,,,
4,CIN,0.323,4,0.251,4,5-0,0.302,2,-0.015,14,0.006,15,5,2015,,,,,,,,,,,,,,,,
5,PIT,0.185,6,0.146,6,3-2,0.207,4,-0.002,15,-0.024,24,5,2015,,,,,,,,,,,,,,,,
6,NYJ,0.156,9,0.093,10,3-1,-0.042,20,-0.267,2,-0.069,30,5,2015,,,,,,,,,,,,,,,,
7,BUF,0.154,8,0.095,9,3-2,0.079,8,-0.073,10,0.002,16,5,2015,,,,,,,,,,,,,,,,
8,NYG,0.153,11,0.104,8,3-2,0.098,7,-0.016,13,0.038,7,5,2015,,,,,,,,,,,,,,,,
9,SEA,0.117,12,0.153,5,2-3,-0.010,14,-0.017,12,0.109,1,5,2015,,,,,,,,,,,,,,,,
10,DEN,0.111,7,0.122,7,5-0,-0.267,32,-0.319,1,0.059,4,5,2015,,,,,,,,,,,,,,,,
11,CAR,0.100,10,0.047,13,4-0,0.006,11,-0.192,5,-0.097,31,5,2015,,,,,,,,,,,,,,,,
12,PHI,0.088,17,0.077,11,2-3,-0.050,22,-0.128,7,0.010,14,5,2015,,,,,,,,,,,,,,,,
13,ATL,0.087,5,0.072,12,5-0,0.131,6,0.028,17,-0.016,22,5,2015,,,,,,,,,,,,,,,,
14,TEN,0.037,15,-0.041,18,1-3,-0.020,16,-0.126,8,-0.069,29,5,2015,,,,,,,,,,,,,,,,
15,WAS,0.027,18,-0.030,16,2-3,-0.025,17,-0.054,11,-0.002,18,5,2015,,,,,,,,,,,,,,,,
16,BAL,0.003,14,0.018,14,1-4,-0.009,13,0.046,19,0.058,5,5,2015,,,,,,,,,,,,,,,,
17,OAK,-0.010,16,-0.030,17,2-3,-0.012,15,0.032,18,0.035,8,5,2015,,,,,,,,,,,,,,,,
18,STL,-0.033,13,-0.005,15,2-3,-0.191,30,-0.139,6,0.019,12,5,2015,,,,,,,,,,,,,,,,
